City,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
Nashville,37211,TN,Nashville,Davidson,9,106.10238817785999,105.43092322655501,103.379310344828,102.990108931968,96.91027874564459,94.4727272727273,94.7821394340959,94.97382659592571,93.5436192257989,93.9052733721475,92.30177059276372,90.8176518470636,90.42232277526399,99.56672705314008,99.02733900364521,102.54934210526301,103.430353430353,103.11320303096599,103.430353430353,98.12911184210529,101.81950509461399,90.18665692376959,95.4857847744361,96.8421052631579,94.39532871972321,93.80378657487091,94.66984884645979,94.9,94.78492442322991,93.92563144670721,89.9318385066095,92.6977976116778,91.2408759124088,94.9152542372881,93.3729821580289,83.2887454498708,87.20187594268481,93.65035714285709,95.1904761904762,95.1904761904762,89.9152823920266,90.23526966773309,88.57142857142858,95.455205811138,95.48038188598301,94.0591044290256,92.5044091710758,93.49376114081998,97.24246683432942,97.4756167527252,103.198115177542,103.98981324278401,107.84765519110901,113.371150729335,116.350275566442,116.350275566442,115.79610552515699,115.241935483871,115.241935483871,115.116915878078,111.695861328214,110.84220434138001,116.728971962617,119.22692635365401,119.14446002805,115.775401069519,123.194562446899,123.355263157895,122.8125,126.593033135089,123.273026315789,122.21716149347701,129.851973684211,135.58352402746002,135.874550684754,135.58352402746002,133.779457542846,139.911283234454,149.9,144.830917874396,139.479952623267,141.537541846007,146.213425129088,146.949891067538,155.577667814114,152.777777777778,151.531449801279,146.382611038996,153.889789303079,154.148630786975,155.024394784701,160.279605263158,168.315789473684
Nashville,37013,TN,Nashville,Davidson,10,83.3848531684699,85.8823529411765,83.6246550137995,83.36809176225229,81.3783667313079,81.7236255572065,80.3831417624521,81.35746606334841,82.93269230769229,80.89494619963371,78.4088049466598,75.4369825206992,74.7126436781609,74.4821872410936,74.8677248677249,72.7686703096539,74.3112947658402,74.8875562218891,69.4229213554236,68.8888888888889,68.7830687830688,69.4229213554236,68.8582677165354,68.6328938237335,67.8374655647383,66.5082912001926,66.9408235625037,70.28145695364239,67.4749140760444,64.4941694224123,65.364395342268,67.6156583629893,67.6156583629893,69.1368078175896,70.1058201058201,70.0529100529101,70.1058201058201,70.1058201058201,71.02676793537009,69.0572390572391,72.5653912667531,71.2943061840121,76.5939715745343,78.125,77.6126849688474,79.7912005965697,81.51315789473679,79.5787545787546,80.8976523208838,79.5787545787546,79.5787545787546,76.6532258064516,76.5322580645161,79.698489010989,86.2903225806452,87.37864077669902,89.11842398442629,90.0956466334756,85.23934426229509,86.6901849516604,84.2140810696095,88.7096774193548,92.6967741935484,93.50322580645158,93.21401938851601,88.778005721206,91.3642960812772,91.31516086115141,96.978021978022,98.5535831689678,92.0367022017837,90.0563336120401,92.7649400330852,92.5,93.75,101.331661184211,96.16755793226379,94.6428571428571,97.9411764705882,102.854793233083,111.267147587512,115.14797760301701,115.546875,112.898403483309,115.465745192308,115.131578947368,113.567073170732,116.037735849057,116.037735849057,118.34319526627199,115.384615384615,116.935483870968,116.158402808249
Chicago,60618,IL,Chicago,Cook,11,236.5,237.759714512292,237.69230769230802,234.3125,232.57575757575802,232.57575757575802,227.788037028246,226.21977270785302,224.9375,224.10526315789502,218.75,207.456140350877,203.61644724556498,203.063175064599,199.92,199.686274509804,199.443137254902,196.740112941703,191.20363288718897,197.59206798866902,207.916666666667,197.59206798866902,182.79061363794,182.53154628042702,179.111111111111,177.25641025641002,169.039732494099,183.14485614944098,183.38815789473702,190.63587788916698,198.761755485893,206.411378555799,188.31984581853402,202.407002188184,193.72093023255798,202.407002188184,210.912985630655,188.896716983298,214.958821666139,232.221006564551,236.027713625866,240.25222138283297,233.58988455195203,232.5,239.986282578875,227.27272727272702,242.606944519981,236.744238013152,253.531676505023,261.096722270998,246.95652173912998,247.57979325435699,259.418688230009,256.346469622332,256.346469622332,259.764028062971,290.555719638935,277.932960893855,258.579571191303,250.166852057842,256.038265306122,265.649221229793,264.677803760771,263.078149920255,272.325027261308,279.559118236473,266.964285714286,307.848237474866,324.35129740519,306.018010705511,305.988026696982,333.208955223881,336.935185185185,333.208955223881,333.537384960183,342.652323066597,349.875,373.958333333333,354.47761194029897,321.617742499126,336.493055555556,353.333333333333,374.75263040071604,396.171927468099,357.142857142857,360.86275510204104,370.68947368421095,357.04931972789103,343.086734693878,369.88922410601896,370.19230769230796,401.44478844169197,351.73051948051904
Los Angeles,90046,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,16,565.1237890204519,550.3144654088051,544.029850746269,518.2302581139791,528.271701297096,520.3386457049401,514.705882352941,527.019101876676,511.25401929260397,508.911876141412,477.675542227069,466.50075642061404,460.565476190476,432.098765432099,423.89525368248803,410.71428571428595,411.199067255768,409.927806765023,413.63636363636397,431.678963991586,415.527950310559,404.648227994532,405.40540540540496,400.892857142857,406.74934193452697,419.375106385109,400.892857142857,408.120240203473,450.0,453.542850700447,455.46218487395,478.04391217564904,477.75848889879404,494.273934951901,511.01646791595704,500.23951483062103,502.259679781341,513.6251792396,547.909407665505,554.834054834055,552.554768463859,592.419995489174,618.30820686901,577.703731573888,598.4375,598.4375,638.467677573823,553.435114503817,642.112067569199,584.252622377622,626.344086021505,604.712660090947,655.612447328576,654.918032786885,617.548407615047,601.711983887211,615.671641791045,649.8999046510061,683.221841076485,651.249335459862,640.433532335844,707.409465167409,679.84496124031,655.793745313396,689.223179920854,703.087885985748,710.526315789474,682.9100892244339,721.3964726233451,739.4082044384669,737.4726972605561,724.7548454822439,739.92398749648,702.479338842975,702.029605056362,669.291338582677,666.2582553287031,741.557107269482,747.920133111481,783.889883430246,761.1788617886181,783.582089552239,753.614079195475,776.8246187363831,789.68253968254,736.885245901639,708.95447761194,775.862068965517,790.918690601901,786.43468162382,805.8494088363409,822.667068031306,806.3748810656521
Washington,20009,DC,Washington,District of Columbia,18,501.404212637914,507.433719470038,527.944111776447,504.536636125539,505.315663357621,501.12460842325106,499.882352941176,504.201680672269,492.43131970955903,499.94444444444395,506.95863659723,501.457070707071,499.94444444444395,510.206297502714,503.80850998179494,491.12271062271105,499.772520473157,497.15009499683293,481.914427851493,503.258687572905,486.857707509881,488.505747126437,498.888888888889,492.948532948533,495.680345572354,497.48505690246805,495.531281032771,503.20407233303,508.361831218974,506.621621621622,512.387387387387,519.287833827893,537.6648792500789,538.422649140546,556.83122847302,549.403828837128,549.586776859504,529.151943462898,528.374744569944,540.539414414414,561.259613304223,562.610870099761,544.787226484797,542.232277526395,558.100045657181,568.181818181818,578.616222239056,566.1501787842669,569.152128774354,579.479970094986,588.094790363293,587.229190421893,585.344827586207,584.663515016685,554.227156276687,568.1107954545449,558.305879292404,565.688575709216,583.350621452102,586.105675146771,586.3174354964821,599.593936249957,592.385505062814,612.559523809524,609.599409106708,612.142857142857,602.918586789555,592.056840077071,597.269624573379,577.605973025048,596.114151129665,608.014172146929,607.286437246964,613.1132075471701,614.6788990825689,619.986206896552,634.300675849972,643.913671384006,642.19739292365,637.823370518122,626.8269414697879,634.409420645723,631.9742489270391,621.014787448798,617.664092664093,639.059304703477,636.5874363327671,662.678450879375,653.3906810362371,643.2417108276451,639.858809165065,657.0,662.025316455696
Saint Peters,63376,MO,St. Louis,Saint Charles,20,111.98830409356701,110.801636395543,111.98830409356701,110.80115746834,110.943583494282,107.86430223592899,107.389162561576,108.762448293358,109.85342019544001,109.166666666667,109.166666666667,109.047619047619,105.418481798608,105.21346469622299,104.229323308271,101.38166414563601,103.352490421456,101.83237852087099,102.53077975376199,99.89473684210529,99.82638888888891,98.7028822183519,104.716981132075,107.28982951205201,117.43970315398899,114.38793517862601,107.28982951205201,109.428919523626,112.725631768953,108.33987496822701,108.018018018018,107.28982951205201,107.28982951205201,107.28982951205201,114.570063694268,111.385350318471,113.869969040248,113.869969040248,112.141148325359,108.200636942675,116.815988973122,114.064393939394,114.78365384615401,113.336870026525,113.336870026525,115.930102092026,107.00389105058399,110.476878612717,113.603419533386,106.38665132336,102.989690721649,103.37553125034901,104.78128179043699,103.747081144191,103.583333333333,102.072538860104,108.247422680412,106.24624303516501,100.77693335727,102.47422680412399,98.51007862921551,98.5745614035088,102.47422680412399,103.092783505155,100.927835051546,98.76246941464329,103.400157139116,103.488281210605,102.00130554180001,102.00130554180001,101.42543859649099,103.01986630421801,107.600273840206,106.506865530303,101.20518271661699,104.205067012568,110.53438601070101,108.506787330317,106.620553359684,102.47422680412399,105.28846153846202,105.574530516432,104.694835680751,108.709385850539,100.343051260704,102.58687866027799,109.296875,109.546165884194,111.166007905138,120.981570471058,121.502643063334,115.384615384615,114.770790239792
Chicago,60629,IL,Chicago,Cook,22,148.148148148148,147.267433449074,147.980324074074,149.373191899711,159.027128157156,144.337356643494,131.622746185853,123.76160990712098,121.73752084277099,123.76160990712098,126.897147020907,126.12024005523399,121.410585517824,111.957489047097,111.647727272727,110.299373513722,107.52688172043001,107.52688172043001,105.225694444444,105.225694444444,106.957885304659,103.38345864661699,102.272727272727,102.272727272727,117.857142857143,111.661807580175,107.244318181818,105.076741440378,97.7011494252874,102.591792656587,98.87218045112779,100.90420332355801,101.136363636364,95.5906821963394,93.21903393049641,94.300221167332,90.6998284734134,100.69349510139,99.56140350877192,99.56140350877192,110.061179087875,120.28985507246401,126.26030859271098,116.623639063016,121.813031161473,121.72112232231001,110.69114470842301,110.54888507718701,107.49356212100099,107.49356212100099,116.50306748466299,123.094688221709,116.11349206349199,118.055555555556,123.094688221709,122.37373737373699,128.26894071238002,121.727909247889,123.953557685554,121.517123465779,131.75355450237,131.727272727273,139.325787368149,138.136011098853,139.220528050784,150.051921079958,150.993747100665,147.392290249433,145.72864321608,145.72864321608,147.225556889422,132.207119320153,123.484529941484,130.815709969789,144.52479338843,142.81639355362898,150.481927710843,152.307081807082,150.324389884343,151.51515151515198,150.166852057842,149.778807228413,152.446291735085,152.685185185185,154.218106995885,168.82239382239402,176.70286278381002,172.234097855216,171.632857142857,168.97040581251102,167.885375494071,161.72248803827802,160.521062390925
Virginia Beach,23464,VA,Virginia Beach,Virginia Beach City,24,136.506622516556,136.326499388005,136.506622516556,137.240868655647,136.337209302326,136.345460546359,135.047951176983,133.862970121318,131.156097980972,130.6,128.90659516692,128.868194842407,128.868194842407,127.278820375335,124.248496993988,117.945823927765,116.92176870748301,117.229835005131,114.710884353741,117.37620612200399,121.054003773189,119.226773447596,121.054003773189,116.62495370879101,111.66836928737601,111.29262100921999,111.341222879684,108.83990256625799,109.9,112.059882096031,105.0,101.872587041593,102.307038698972,101.80342651036999,101.689114829988,101.11017398885599,101.11017398885599,100.0,102.626725844327,112.687431469298,115.62998405103701,110.873589164786,112.177328843996,116.445427728614,116.751141957952,117.229035996381,112.7539503386,111.517857142857,106.864134948592,107.615894039735,107.419685168852,106.38297872340401,107.223476297968,111.779503655934,111.91626409017701,107.868020304569,107.868020304569,107.868020304569,105.530391277568,116.104868913858,116.104868913858,118.57707509881399,117.647058823529,116.87720273657601,116.752577319588,116.752577319588,118.449401037011,117.401215805471,117.021276595745,116.752577319588,116.148325358852,113.157894736842,117.401215805471,117.88477479966801,119.331742243437,117.988394584139,117.88477479966801,120.576407506702,120.24048096192399,114.51965065502199,119.61722488038299,116.771159874608,106.79385289108801,107.57037243764401,115.274725274725,113.14414650588002,118.051479018188,118.635362810642,126.677238414762,120.401463355623,118.75,117.557988803744,116.82650392327801
Hoboken,7030,NJ,New York,Hudson,25,469.426701978501,471.02630074328204,476.976542137272,468.72436725352895,469.15725456125097,462.5,459.104938271605,462.74166012558896,465.254237288136,460.055839707193,459.104938271605,459.104938271605,461.658841940532,458.69565217391295,457.920792079208,462.34243697479,461.538461538462,462.375,470.0,472.087378640777,464.760638297872,464.224453300634,460.269121813031,472.14673913043504,464.915458937198,472.14673913043504,473.603238866397,479.104291417166,483.00156128025003,486.880475492591,490.585774058577,491.706031701075,491.625615763547,489.18981288824006,487.331708467647,491.49180327868896,503.006817133633,526.511094840257,521.2190626645599,514.365351629503,509.433962264151,520.3966328094,526.649746192893,527.225583405359,527.426160337553,548.018743089166,565.5391120507401,561.8366317449289,548.022598870057,555.775766601749,561.818181818182,557.275541795666,559.965487489215,564.853556485356,580.093316280612,581.124696574665,606.463495009236,627.428571428571,634.810629737291,673.758865248227,641.6803953871499,605.766101694915,626.83284457478,629.733520336606,634.851138353765,635.78110808356,626.205787781351,623.958333333333,624.841449043297,630.434782608696,618.872549019608,630.623520126283,628.830275229358,643.973943879124,650.0,659.433962264151,668.695652173913,677.325581395349,681.043129388165,688.482655993432,685.155630625183,671.800641451533,692.6229508196719,691.2702352878599,701.278443722064,700.6893834135091,698.6899563318781,699.3407635816679,700.906204618582,706.990756222233,694.715834624091,699.222715501295,700.561009817672
Charlotte,28277,NC,Charlotte,Mecklenburg,26,108.18661971831,106.867626493472,106.82281059063101,105.62021023198,105.552139120688,105.552139120688,104.6875,104.6875,104.6875,101.266853557602,100.840336134454,99.3640699523052,99.29108637615481,96.9162995594714,98.5596844846978,97.41620111731841,97.1173271173271,94.8234391999056,95.7235654998196,96.5360590573538,97.7872340425532,99.46982765442259,101.21158195167101,102.304469273743,103.05313598602699,103.964393755862,103.942652329749,107.12098009188401,96.0674980524057,97.12837837837841,100.921658986175,101.695993375552,96.59299354190209,97.9780161884478,104.62706975509899,106.51828298887101,106.207482993197,105.643879173291,105.670744733704,104.493576080119,105.566872019078,105.69852941176501,106.849315068493,105.844656410951,107.400497512438,105.65371024735,109.41448851410699,108.97435897435899,108.412839072437,106.065711878686,105.311355311355,108.94736842105301,109.432234432234,109.432234432234,109.63949843260201,109.89010989011,110.58722701879101,108.4834071463,108.170391061453,108.952702702703,107.63888888888901,109.1985428051,109.1985428051,111.528729285956,111.50564779597,110.986505987332,115.10743851188299,113.95027624309401,110.599078341014,111.18991811692601,112.996031746032,113.091216216216,114.937777777778,114.38460658083,117.568069411387,118.233387011118,117.398648648649,120.14090491786999,120.027183483008,120.457315668538,118.75,119.886554762516,123.60824742268,127.209625173531,126.74632352941201,127.09677419354799,125.809352517986,126.811594202899,127.29124236252501,128.630514705882,133.410222960152,135.636769005128,133.162103031397
